env_name,train_samples,encode_dim,use_control_loss,use_covariance_loss,mean_JrPE,mean_JrPE,mean_survival_steps,mean_survival_steps
,,,,,mean,std,mean,std
Go2,9333,560,True,False,0.6326541262918782,0.058907422644470755,2.7684,0.09857383019848627
Go2,9333,560,True,True,0.6325335024089673,0.05804296473969701,2.7670000000000003,0.10958786429162676
Go2,37333,35,False,False,0.37536713727364013,0.0590185385582775,26.160199999999996,5.217283220221039
Go2,37333,35,False,True,0.3257942607125957,0.037698112825475506,25.994999999999997,5.147645432622571
Go2,37333,35,True,False,0.22588362327407618,0.02046291522430023,80.2194,13.961456668270685
Go2,37333,35,True,True,0.22900228076634374,0.035205021908375274,61.2552,17.18699799848711
Go2,37333,70,False,False,0.3400654558492094,0.041857230946304315,30.3898,11.063007760098516
Go2,37333,70,False,True,0.333037695433089,0.06903212246628901,36.9342,19.97857740681253
Go2,37333,70,True,False,0.22403574280945446,0.02041589515723722,71.8574,14.720109554619487
Go2,37333,70,True,True,0.20411118898957586,0.02479365246446226,81.3652,14.836728369152004
Go2,37333,140,False,False,0.31088809928455474,0.03516860939419036,22.4222,6.328432128102505
Go2,37333,140,False,True,0.2773189388093753,0.02312652353622852,31.830000000000002,6.523677298885961
Go2,37333,140,True,False,0.19721061037436466,0.02126779803471739,61.3692,21.025367730434592
Go2,37333,140,True,True,0.17593850430305474,0.020661442946645264,76.7114,8.565730167358765
Go2,37333,280,False,False,0.3211762467457008,0.1026383762019043,27.1504,11.034170236134658
Go2,37333,280,False,True,0.28520676288335467,0.04619114595864459,26.147399999999998,6.94082756593189
Go2,37333,280,True,False,0.22579048894088807,0.026917824498345736,62.141000000000005,14.184147965246277
Go2,37333,280,True,True,0.1991427580357111,0.028676648502226086,76.30199999999999,23.478218703726224
Go2,37333,560,False,False,0.295698990461796,0.048484311604860525,25.7488,5.087001002555435
Go2,37333,560,False,True,0.2825463958802962,0.03767353220856351,31.9994,5.301608133387454
Go2,37333,560,True,False,0.22200263542357992,0.022355148894849592,70.0266,10.152583011234134
Go2,37333,560,True,True,0.18654923692188902,0.009267929583484831,87.8754,13.006017003679492
Go2,140000,35,False,False,0.19391158913085182,0.013727260195866888,62.88719999999999,9.318316999329868
Go2,140000,35,False,True,0.19554867548049118,0.01177105388602377,72.3712,6.4581105363720726
Go2,140000,35,True,False,0.14322737823843412,0.02678074486371853,87.342,26.07861299034134
Go2,140000,35,True,True,0.17236661255293595,0.013681229588045714,78.9742,19.81106228095808
Go2,140000,70,False,False,0.17270664252034015,0.013011890413477719,70.60419999999999,4.192957810424522
Go2,140000,70,False,True,0.1681722220413147,0.02225288771969427,76.6634,16.86988871628974
Go2,140000,70,True,False,0.11988845032018687,0.025375725354371232,94.3898,28.675780838540387
Go2,140000,70,True,True,0.11312433321157449,0.015406671842348939,110.102,15.412716908449331
Go2,140000,140,False,False,0.17507213536176106,0.01720490897951466,64.7166,11.312378056801316
Go2,140000,140,False,True,0.16007776667160986,0.02678701230244627,70.44120000000001,18.158090695334685
Go2,140000,140,True,False,0.11852658190287169,0.0055952455363101495,86.0602,14.044011257471992
Go2,140000,140,True,True,0.10864135676546538,0.012439521142954591,113.00059999999999,17.69418348780186
Go2,140000,280,False,False,0.17607468950284347,0.028396059800038682,70.3388,14.770317420421264
Go2,140000,280,False,True,0.14630329387674457,0.009121729678321325,85.57000000000001,14.138423126360312
Go2,140000,280,True,False,0.13073289113634295,0.0175357019951737,85.6292,10.978773141840575
Go2,140000,280,True,True,0.1262680937323574,0.01613579517926454,101.1064,10.892510032127587
Go2,140000,560,False,False,0.16496386094232682,0.00975110074570777,68.2394,10.873705270053991
Go2,140000,560,False,True,0.16261277960186232,0.021591271434461184,64.28299999999999,11.157815780877542
Go2,140000,560,True,False,0.13672142115283759,0.016523023783819216,80.6608,16.91402460090442
Go2,140000,560,True,True,0.12495410687005318,0.014970996095960908,95.9902,8.257796842984211
