Environment,TrainSamples,EncodeDimMultiplier,LearnedEncodeDim,ActualEncodeDim,UseCovLoss,UseControlLoss,PredictionError,NormalizedCovariance
DampingPendulum,140000,1,2,4,False,False,0.013078717989390429,34022.74571208264
DampingPendulum,140000,1,2,4,False,True,0.046246877955129696,534.1938432998999
DampingPendulum,140000,1,2,4,True,False,0.02050474538453907,2.045486783132829e-06
DampingPendulum,140000,1,2,4,True,True,0.1345640084610859,2.8216603849162048e-05
DampingPendulum,140000,2,4,6,False,False,0.010963404972104806,3444.865825591189
DampingPendulum,140000,2,4,6,False,True,0.016634556329106796,692.1643048802981
DampingPendulum,140000,2,4,6,True,False,0.013121581045163524,1.2988311254555136e-05
DampingPendulum,140000,2,4,6,True,True,0.01741744509738358,5.016622208439085e-05
DampingPendulum,140000,4,8,10,False,False,0.008990744186713334,1807.8015089868734
DampingPendulum,140000,4,8,10,False,True,0.010539025099539212,418.3627607647096
DampingPendulum,140000,4,8,10,True,False,0.009674589007967381,3.908967124766586e-05
DampingPendulum,140000,4,8,10,True,True,0.011393058099829014,0.00012231589225974486
DampingPendulum,140000,8,16,18,False,False,0.008518361493041571,638.4278730288174
DampingPendulum,140000,8,16,18,False,True,0.009224241079458295,55.85818874603211
DampingPendulum,140000,8,16,18,True,False,0.008585206182725314,6.203243112063988e-05
DampingPendulum,140000,8,16,18,True,True,0.009401199287659794,0.00023620307867798263
DampingPendulum,140000,16,32,34,False,False,0.008517564090155215,357.32044629993635
DampingPendulum,140000,16,32,34,False,True,0.008975486095153685,13.49417646226349
DampingPendulum,140000,16,32,34,True,False,0.008572973040351685,0.00011306989337347232
DampingPendulum,140000,16,32,34,True,True,0.008996253166748954,0.00034044011925447117
DoublePendulum,1000,1,4,8,False,False,0.019449213608075052,56.15403791204595
DoublePendulum,1000,1,4,8,False,True,0.040596492952454453,0.11377837421748496
DoublePendulum,1000,1,4,8,True,False,0.019190097306163306,3.831726308598136e-05
DoublePendulum,1000,1,4,8,True,True,0.03955590850215788,0.0017257852586711755
DoublePendulum,1000,2,8,12,False,False,0.019276716246717642,14.430555357556154
DoublePendulum,1000,2,8,12,False,True,0.025971785547431514,6.124108070464701
DoublePendulum,1000,2,8,12,True,False,0.018988950365587516,0.00014474373944970632
DoublePendulum,1000,2,8,12,True,True,0.03013001401710907,0.003671566154798867
DoublePendulum,1000,4,16,20,False,False,0.0185469255935787,0.15880260521905046
DoublePendulum,1000,4,16,20,False,True,0.023480634714925067,2.561977372120035
DoublePendulum,1000,4,16,20,True,False,0.018712989659874748,0.0004333890761359851
DoublePendulum,1000,4,16,20,True,True,0.02481034347660249,0.006639188710499692
DoublePendulum,1000,8,32,36,False,False,0.018780896309914755,0.03014142632807907
DoublePendulum,1000,8,32,36,False,True,0.02282156552736876,1.1049639887764324
DoublePendulum,1000,8,32,36,True,False,0.01891410571736898,0.0005175990694171957
DoublePendulum,1000,8,32,36,True,True,0.02338845020313384,0.006572707053267006
DoublePendulum,1000,16,64,68,False,False,0.019374541847097963,0.016289762000453675
DoublePendulum,1000,16,64,68,False,True,0.021983661289087894,0.22960660201524083
DoublePendulum,1000,16,64,68,True,False,0.019529882466772945,0.0003369659361322067
DoublePendulum,1000,16,64,68,True,True,0.023542627601133428,0.0028914030722109844
DoublePendulum,4000,1,4,8,False,False,0.01707310795352472,10.109292377678319
DoublePendulum,4000,1,4,8,False,True,0.02022963659069935,0.030722753982512778
DoublePendulum,4000,1,4,8,True,False,0.01707010885654202,1.035295808832213e-05
DoublePendulum,4000,1,4,8,True,True,0.019840046338601112,0.0006711098019631707
DoublePendulum,4000,2,8,12,False,False,0.01721485547211819,3.3978063727818744
DoublePendulum,4000,2,8,12,False,True,0.018956090940543645,1.8019554631142716
DoublePendulum,4000,2,8,12,True,False,0.017155658169871996,2.6817668485589577e-05
DoublePendulum,4000,2,8,12,True,True,0.018394129654162004,0.0009053546210184274
DoublePendulum,4000,4,16,20,False,False,0.017180359209658814,0.11661317432405655
DoublePendulum,4000,4,16,20,False,True,0.01831273164702145,0.6612875057480357
DoublePendulum,4000,4,16,20,True,False,0.017223220459675496,7.823707944165092e-05
DoublePendulum,4000,4,16,20,True,True,0.018101652043114504,0.0011962782128432472
DoublePendulum,4000,8,32,36,False,False,0.01720906015387209,0.058191128981454454
DoublePendulum,4000,8,32,36,False,True,0.018106714831244205,0.19518190801740995
DoublePendulum,4000,8,32,36,True,False,0.017176536244274964,0.00018133461348769512
DoublePendulum,4000,8,32,36,True,True,0.017926448714566147,0.0012117917953220426
DoublePendulum,4000,16,64,68,False,False,0.017290140011178984,0.04453057685747375
DoublePendulum,4000,16,64,68,False,True,0.017923275660922233,0.1079270016502158
DoublePendulum,4000,16,64,68,True,False,0.01755286652637624,0.00013681807433446022
DoublePendulum,4000,16,64,68,True,True,0.017784109131300508,0.0007648410083180255
DoublePendulum,16000,1,4,8,False,False,0.016778063695753943,4.021462937083229
DoublePendulum,16000,1,4,8,False,True,0.018219512290557155,0.08235813300548857
DoublePendulum,16000,1,4,8,True,False,0.016789570077924594,8.622203180887042e-07
DoublePendulum,16000,1,4,8,True,True,0.017292249445672474,0.00014399450766121045
DoublePendulum,16000,2,8,12,False,False,0.016773397110870485,1.6988394847891086
DoublePendulum,16000,2,8,12,False,True,0.01729153574026969,0.23724229167009825
DoublePendulum,16000,2,8,12,True,False,0.016789168162946365,4.402154903686447e-06
